Date,polarity_mean
2019-01-11,-0.03008130081300813
2019-01-12,-0.06666666666666667
2019-02-11,-0.04320987654320988
2019-02-12,0.008350340136054424
2019-03-11,-0.02727272727272728
2019-03-12,0.04391441891441891
2019-04-11,0.06638344226579522
2019-04-12,-0.028300865800865802
2019-05-11,0.012913510101010108
2019-05-12,-0.0501937984496124
2019-06-11,-0.10868417039148744
2019-06-12,0.01811430632859204
2019-07-11,-0.016358225108225107
2019-07-12,-0.09
2019-08-11,0.022811447811447814
2019-08-12,0.009636363636363643
2019-09-11,0.075
2019-09-12,-0.06301587301587301
2019-10-11,0.04318181818181818
2019-10-12,0.03619800950683304
2019-11-11,0.011298475829725823
2019-11-12,-0.13402008422416586
2019-11-13,0.0073717948717948725
2019-11-14,-0.10761904761904763
2019-11-15,0.018166786916786918
2019-11-16,0.0
2019-11-17,-0.008641975308641976
2019-11-18,-0.012133333333333335
2019-11-19,-0.019696969696969695
2019-11-20,-0.027929687499999998
2019-11-21,-0.019643759018759022
2019-11-22,0.024118181818181813
2019-11-23,0.1611111111111111
2019-11-24,0.0
2019-11-25,0.042666666666666665
2019-11-26,0.028787878787878786
2019-11-27,-0.03355654761904761
2019-11-28,0.050189393939393936
2019-11-29,-0.008012820512820516
2019-11-30,0.03333333333333334
2019-12-11,-0.057928571428571426
2019-12-12,-0.0025967261904761892
2019-12-13,0.023991815476190483
2019-12-14,-0.15
2019-12-15,-0.10714285714285715
2019-12-16,0.03837995337995338
2019-12-17,0.05851851851851852
2019-12-18,-0.028124999999999997
2019-12-19,0.00696759958387865
2019-12-20,0.016968599033816426
2019-12-21,0.0
2019-12-22,0.13095238095238096
2019-12-23,0.06507936507936508
2019-12-24,-0.18333333333333335
2019-12-25,0.0
2019-12-26,-0.03125
2019-12-27,0.03047619047619048
2019-12-30,-0.015317460317460313
2019-12-31,0.029505888376856117
2020-01-01,0.0
2020-01-02,-0.06666666666666665
2020-01-03,-0.011111111111111113
2020-01-04,-0.026390646976090018
2020-01-05,-0.03351914840010078
2020-01-06,-0.04477466977466977
2020-01-13,0.06627559377559378
2020-01-14,0.023361742424242424
2020-01-15,-0.06345470837406321
2020-01-16,0.059876543209876544
2020-01-17,-0.03690927128427129
2020-01-18,-0.016666666666666666
2020-01-19,0.02
2020-01-20,0.061048611111111116
2020-01-21,0.054231292517006806
2020-01-22,0.024201839826839825
2020-01-23,-0.017201651776119865
2020-01-24,0.037589285714285714
2020-01-25,0.1
2020-01-27,0.026603143233578017
2020-01-28,0.015082183441558445
2020-01-29,0.031032818532818536
2020-01-30,-0.0015082371332371344
2020-01-31,0.021486956026429707
2020-02-01,0.02728282828282828
2020-02-02,0.03333333333333333
2020-02-03,-0.03468679138321994
2020-02-04,0.03802331349206349
2020-02-05,0.13999999999999999
2020-02-06,0.05560344827586207
2020-02-19,0.046488095238095245
2020-02-20,-0.001104845446950705
2020-02-21,-0.0009722222222222225
2020-02-22,0.28583333333333333
2020-02-23,0.029442148760330578
2020-02-24,0.005136268343815513
2020-02-25,-0.02739325068870524
2020-02-26,-0.01662663217541266
2020-02-27,-0.012844611528822054
2020-02-28,0.03658176448874124
2020-02-29,0.14074074074074075
2020-03-01,0.06033367003367003
2020-03-02,0.02852813852813853
2020-03-03,0.03378048780487805
2020-03-04,0.01612351190476191
2020-03-05,0.024338624338624337
2020-03-13,0.010318683200039133
2020-03-14,0.03409090909090909
2020-03-15,-0.10040849673202613
2020-03-16,-0.00501190476190476
2020-03-17,0.006577758333077483
2020-03-18,-0.013184380032206114
2020-03-19,-0.03304904051172708
2020-03-20,-0.00767099567099567
2020-03-21,0.06818181818181818
2020-03-22,0.05555555555555555
2020-03-23,-0.04368160774410774
2020-03-24,0.025586580086580088
2020-03-25,0.016557088744588742
2020-03-26,0.0796242306446388
2020-03-27,0.0592929292929293
2020-03-28,-0.05625
2020-03-29,-0.29374999999999996
2020-03-30,-0.06344474153297683
2020-03-31,0.006077140452140453
2020-04-01,-0.0038265306122448983
2020-04-02,-0.03603479853479854
2020-04-03,0.022879962414846137
2020-04-04,-0.019117647058823527
2020-04-05,0.015525042087542087
2020-04-13,-0.05227089737959303
2020-04-14,-0.015238095238095236
2020-04-15,-0.019593825579741066
2020-04-16,0.015245180563808015
2020-04-17,-0.03554003235821417
2020-04-18,0.0
2020-04-19,0.03974358974358974
2020-04-20,-0.09634168035030105
2020-04-21,-0.008377015389047478
2020-04-22,0.03455044771269936
2020-04-23,-0.01585990613052469
2020-04-24,-0.0009024978852565033
2020-04-25,-0.2005681818181818
2020-04-26,-0.09039682539682539
2020-04-27,0.010656285072951743
2020-04-28,-0.023030956112852673
2020-04-29,0.0022160068846815814
2020-04-30,0.009845889205645301
2020-05-01,0.08055555555555555
2020-05-02,0.07558514931396287
2020-05-03,0.008817594834543986
2020-05-04,-0.020138888888888887
2020-05-05,0.05188949352681747
2020-05-13,-0.03442857142857142
2020-05-14,-0.14884199134199136
2020-05-15,0.11112318840579709
2020-05-16,0.05523809523809524
2020-05-17,0.07324761904761906
2020-05-18,0.06108877894592184
2020-05-19,0.005309696342305039
2020-05-20,0.04397314986600701
2020-05-21,0.031354453627180895
2020-05-22,0.01407563025210084
2020-05-23,0.0
2020-05-24,0.25
2020-05-25,-0.08511904761904761
2020-05-26,0.03497159090909091
2020-05-27,-0.061111111111111116
2020-05-28,-0.08993055555555556
2020-05-29,-0.0009270334928229597
2020-05-30,0.0
2020-05-31,-0.39444444444444443
2020-06-01,0.0643951231060606
2020-06-02,0.16875
2020-06-03,-0.05316693505099302
